"Step","falcon RL 7b 2nd run - objective/kl","falcon RL 7b 2nd run - objective/kl__MIN","falcon RL 7b 2nd run - objective/kl__MAX","red RL 3b 1st run - objective/kl","red RL 3b 1st run - objective/kl__MIN","red RL 3b 1st run - objective/kl__MAX"
"0","0","0","0","0","0","0"
"1","3.9846243858337402","3.9846243858337402","3.9846243858337402","0.04313967376947403","0.04313967376947403","0.04313967376947403"
"2","6.180702209472656","6.180702209472656","6.180702209472656","0.23663748800754547","0.23663748800754547","0.23663748800754547"
"3","3.2829012870788574","3.2829012870788574","3.2829012870788574","-0.0015082880854606628","-0.0015082880854606628","-0.0015082880854606628"
"4","8.382463455200195","8.382463455200195","8.382463455200195","0.4880959391593933","0.4880959391593933","0.4880959391593933"
"5","4.3978471755981445","4.3978471755981445","4.3978471755981445","0.4158972203731537","0.4158972203731537","0.4158972203731537"
"6","5.018264293670654","5.018264293670654","5.018264293670654","0.42665258049964905","0.42665258049964905","0.42665258049964905"
"7","4.511401176452637","4.511401176452637","4.511401176452637","0.5142381191253662","0.5142381191253662","0.5142381191253662"
"8","3.989870071411133","3.989870071411133","3.989870071411133","0.4007805585861206","0.4007805585861206","0.4007805585861206"
"9","1.5111429691314697","1.5111429691314697","1.5111429691314697","0.9040135145187378","0.9040135145187378","0.9040135145187378"
"10","5.358368873596191","5.358368873596191","5.358368873596191","1.1982632875442505","1.1982632875442505","1.1982632875442505"
"11","2.3584749698638916","2.3584749698638916","2.3584749698638916","1.0947918891906738","1.0947918891906738","1.0947918891906738"
"12","4.2962775230407715","4.2962775230407715","4.2962775230407715","0.8856256008148193","0.8856256008148193","0.8856256008148193"
"13","3.4671783447265625","3.4671783447265625","3.4671783447265625","0.9168139100074768","0.9168139100074768","0.9168139100074768"
"14","4.905158996582031","4.905158996582031","4.905158996582031","0.45457321405410767","0.45457321405410767","0.45457321405410767"
"15","3.6449532508850098","3.6449532508850098","3.6449532508850098","0.8844315409660339","0.8844315409660339","0.8844315409660339"
"16","3.775790214538574","3.775790214538574","3.775790214538574","0.5220031142234802","0.5220031142234802","0.5220031142234802"
"17","3.0428647994995117","3.0428647994995117","3.0428647994995117","0.4983122944831848","0.4983122944831848","0.4983122944831848"
"18","2.8013265132904053","2.8013265132904053","2.8013265132904053","0.9810270071029663","0.9810270071029663","0.9810270071029663"
"19","3.3808982372283936","3.3808982372283936","3.3808982372283936","0.23958967626094818","0.23958967626094818","0.23958967626094818"
"20","1.6038453578948975","1.6038453578948975","1.6038453578948975","0.6968133449554443","0.6968133449554443","0.6968133449554443"
"21","2.0298991203308105","2.0298991203308105","2.0298991203308105","0.3122883439064026","0.3122883439064026","0.3122883439064026"
"22","3.7101104259490967","3.7101104259490967","3.7101104259490967","-0.07135514914989471","-0.07135514914989471","-0.07135514914989471"
"23","2.9979195594787598","2.9979195594787598","2.9979195594787598","0.7891188263893127","0.7891188263893127","0.7891188263893127"
"24","-0.44320201873779297","-0.44320201873779297","-0.44320201873779297","0.40792641043663025","0.40792641043663025","0.40792641043663025"
"25","2.7478718757629395","2.7478718757629395","2.7478718757629395","0.44596558809280396","0.44596558809280396","0.44596558809280396"
"26","0.1750240921974182","0.1750240921974182","0.1750240921974182","0.3953913450241089","0.3953913450241089","0.3953913450241089"
"27","0.3767664432525635","0.3767664432525635","0.3767664432525635","0.42868268489837646","0.42868268489837646","0.42868268489837646"
"28","0.5351236462593079","0.5351236462593079","0.5351236462593079","0.3270549476146698","0.3270549476146698","0.3270549476146698"
"29","-0.5104936361312866","-0.5104936361312866","-0.5104936361312866","0.3457556664943695","0.3457556664943695","0.3457556664943695"
"30","0.717623233795166","0.717623233795166","0.717623233795166","-0.21659716963768005","-0.21659716963768005","-0.21659716963768005"
"31","-0.7001215815544128","-0.7001215815544128","-0.7001215815544128","0.4077215790748596","0.4077215790748596","0.4077215790748596"
